NUGC3,NALM6,1
NUGC3,NCIH2110,1
SNU1,HCC15,1
SNU1,KYSE510,1
SNU1,NCIH1568,1
K562,HCT15,1
HDMYZ,HCT15,1
RKO,KYSE180,1
SNUC5,EBC1,1
SNUC5,COLO679,1
NALM6,NCIH1793,1
WM115,HCT15,1
SNU449,HCT15,1
CORL88,CCK81,1
CMK,HCT15,1
SNGM,NCIH446,1
SNGM,COLO678,1
NCIH2009,SW48,1
CAL33,HCT15,1
IPC298,NCIH650,1
IPC298,NCIH2110,1
SHP77,NCIH1155,1
NCIH2172,NCIH1568,1
NCIH2172,TE4,1
EBC1,NCIH650,1
IGR37,HCT15,1
CCK81,HSC4,1
CCK81,KYSE510,1
SKMEL28,HCT15,1
NCIH838,NCIH650,1
KYSE150,NCIH650,1
J82,SW48,1
NCIH650,NCIH1568,1
NCIH2110,CL34,1
HCT15,RVH421,1
A2780,SNUC5,1
NCIH1792,HCT15,1
A549,HCT15,1
NCIH716,RKO,1
NCIH23,SNU1,1
NCIH23,NALM6,1
NCIH23,NCIH1568,1
CORL23,SNGM,1
NCIH441,RKO,1
NCIH441,CCK81,1
SKMEL2,NCIH650,1
MDST8,CCK81,1
HGC27,NCIH1155,1
SNU1,COLO679,1
NCIH1435,SNGM,1
NCIH1435,NCIH1793,1
RKO,NCIH2009,1
RKO,EBC1,1
RKO,TE4,1
MDAMB453,SNUC5,1
MDAMB468,HCT15,1
NALM6,CAL51,1
SNGM,EBC1,1
SNGM,KYSE180,1
SNGM,NCIH838,1
SNGM,KYSE510,1
NCIH1793,NCIH1155,1
HCC15,NCIH2172,1
HCC15,NCIH2110,1
SHP77,CL34,1
NCIH446,NCIH650,1
MDAMB231,HCT15,1
KYSE180,SW48,1
LN229,HCT15,1
ABC1,HCT15,1
EFM19,HCT15,1
OPM2,SNUC5,1
NCIH1048,SNU1,1
NCIH1048,NCIH650,1
NCIH358,NALM6,1
NCIH358,NCIH1793,1
NCIH358,NCIH2172,1
MFE296,SNU1,1
NCIH716,CCK81,1
MKN1,HCT15,1
8505C,HCT15,1
SKCO1,HCT15,1
NCIH1435,NCIH2172,1
RCHACV,HCC15,1
RKO,MDAMB453,1
MDAMB453,SNGM,1
SNUC5,BT20,1
MDAMB468,CCK81,1
CORL88,SNGM,1
CORL88,SW48,1
SNGM,J82,1
IPC298,NCIH1155,1
SHP77,NCIH2110,1
NCIH446,NCIH2110,1
MKN7,HCT15,1
CCK81,COLO679,1
COLO679,SW48,1
MELJUSO,NCIH1155,1
MELJUSO,NCIH650,1
SKMEL28,NCIH1155,1
NCIH1155,SW948,1
HCC1395,HCT15,1
NCIH1568,NCIH2110,1
HCT15,KU1919,1
KMS12BM,HCT15,1
A2058,SNUC5,1
A2058,SNGM,1
SKMEL30,CCK81,1
NCIH23,RCHACV,1
NCIH23,NCIH1793,1
NCIH23,HCC15,1
NCIN87,HCT15,1
LXF289,SNUC5,1
LXF289,SNGM,1
HGC27,NALM6,1
NUGC3,SHP77,1
K562,SW48,1
